pais;comentario
Canada;Bought a charge 2 and just relized that there's a game on it!!!!!!! Liiiiitttt 🐽🐽
Hong Kong;app
Singapore;The emoji button at the side is gone! Pls bring it back
United States;I like this app very much but recently I was very disappointed with the removal of the like button. Sometimes I can't pin something right away because I didn't have a board for it. So I liked it the sorted it out later. Please bring it back.
Canada;This app just gets worse and worse. I don't like the instagram like features in it. That's why I have a separate app for instagram. Makes it all unwieldy and slow. Very frustrating.
United Kingdom;Your details mention how the app uses 61.4mb, but I have to delete and download again at least once or twice a week. If I don't, it can take up to 3GB of space on my phone. Really good app, but sometimes crashes, and turning a bit like Snapchat... please fix the space issues. Other than that, good.
Hong Kong;Can't upload all photo at once, need to do it one by one. Please fix the bugs.
United States;The BEST!
Canada;Soooo... what exactly did you update? Still no contact tab, fav, etc
Singapore;I can't even log out of my account. how can Instagram not have solved such a fundamental issue like this? Seriously? And give us the chronological order back. the format now is not what we want. spend less time giving useless updates face filters and spend more time fixing your problems please SMH
United States;I'm concerned over all the negative reviews. I've only had my Fitbit Alta HR for two days & so far I'm loving it. I'm enjoying the app as well. I'm only tracking my steps, distance, HR & walks/runs.
India;Sync is not working. It was fine the previous day. Pls fix this
Canada;�
Singapore;Can be made better if they took up Google Maps' colour coding of the path to show how heavy the traffic is.
Australia;So many trolls and fake accounts that spam your explore feed. They're desperate for likes and follows and it's annoying as fxck
United Kingdom;I have been using the app for three months, linked to my Garmin devices (calories burnt), for weight loss which has dropped 7kg. Daily calorie targets, ability to scan food bar codes for all the calorie /nutrition info very handy / takes out the guess work. Seeing my calories in/out daily with a weight target keeps me motivated/on target 😀\n \n Great app, highly recommended 👍
Hong Kong;
Australia;Don't like the box style for comments \n How do I make bigger I can't read them
United Kingdom;Whats up with the update that doesn't allow you to see the pictures large and scroll down the profile. So inconvenient. The app itself is great but that was a highly frustrating and unnecessary update feature.
Australia;Never skips a beat for me no matter what platform I'm running it on. Loading files and face timing no worries.
United States;This app does exactly what I need it to. Helps me keep a hold on my life and it's easy to track meals, sleep, exercise, and water intake. I have a Charge 2 and I absolutely love it. The reminders to move every hour are helpful for when I'm not feeling motivated. The heart rate is accurate - I've simultaneously gotten my heart rate from my Fitbit and my pulse reader/pulse-ox I use at work - I'm a nurse- and they were only 1 beat in difference. That's a pretty good reading.
India;Crap : 217 mb ??? In the next few days we might need external hard disk to have Facebook app.
Canada;I don't know what is wrong but I can't get the colour status to work on my fully updated iPhone 5s
United Kingdom;I love this app so much! It's such a helpful tool if your a designer or artist! A must need in your life!
Australia;Thanks for ruining society. All people are worried about these days is protesting, rioting and publicity. Thanks for turning the people into opinionated selfish cowards that get off on publishing their boring lives. What a joke. Ruined the world in under 20 years. Facebook is responsible for at least 20% of crimes committed these days. 2% of terrorism. Who knows what else.
Singapore;Overall, Whatsapp is fantastic, it would be great though, if we were able to manipulate the profile pic settings further - pick specific individuals (or create groupings like in Facebook) in our contact list to able to see our profile pictures or to hide our profile pictures from. My current situation is such that I do not save colleagues numbers on my contact list coz I don't want them to see my whatsapp profile pic, solely because it lacks this feature.
Australia;Great and easy way to stay connected with friends especially overseas.
India;Worst
Australia;I can't use instagram bc I use my iPad so I don't have a number so I can't use Instagram so plz get rid of that problem so I can use Instagram!!! That's why I gave it 1 star
United States;Whatever update you've added makes my menu and DMs disappear. Also, I kinda wish my photos showed in order in my newsfeed. I don't see friends posts anymore unless I go to the pages.
South Africa;Insta nva dspnts
India;I'm getting notifications even after logging out! Wtf is this??
United States;zuckerburg wants all the information, and instagram's collection methods are getting downright annoying. this gets worse with each update.
Canada;The Apple Watch version is not working well.
Hong Kong;Can you add back the column of friends online at the right hand side of FB app? This could help us to contact those who are online and increas the use of messenger.
Singapore;Best apps I that ever download highly recommended to all user
Hong Kong;Why such large?
India;It's not performing wel. There is so much of prb .
United Kingdom;Basically in my opinion I think it is pretty good could use in some big fixes and can use filters to piss of snapchat
Hong Kong;， 。 ， 。
United States;Awesome App
United Kingdom;I can't say enough bad things about this update. The interaction with messenger has gone from bearable to outright awful. And no. I do not EVER want to sell something through bloody Facebook - who wants you in that much of our lives? Not to mention the fact that the feed on the app beats no resemblance to the feed in the browser, STILL, which is just stupid and pointless. I've used this version for a day and now considering deleting it entirely after years of using it. \n \n My only regret is that I can't give you zero stars.
United Kingdom;1. Along with its other apps, is updated every week without any changes - probably just to keep its staff employed.\n \n 2. DO NOT LIKE the view of when, viewing a video and a whole list of other videos you HAVE NOT selected is cued beneath it. GET RID OF THIS.\n \n 3. What is the point of HIDE FROM TIMELINE, when you hide something from timeline after immediately putting it on facebook and 9hrs later, people can still Like?\n \n 4. The size of the app and data/documents is nearing 1GB and is getting out of control and yes, I frequently do a fresh install.\n I think Facebook inc. are trying to take over our devices by buying other apps and then making them so big, that you have to delete other apps to fit them on.\n \n 5. Not all my friends/pages feeds are being displayed on timeline. Only a select few are being shown. FACEBOOK, I have friends and I also have Liked/Following pages, why do you only allow a
Canada;Love your App!! No question, works great. My only thing is that it would be great if you made it Car Play compatible! Please do this!\n \n Chris
Canada;I have found so many useful things on Pinterest, whether it's a cleaning tip, or a great recipe. Love it!
Australia;Love the app, just not loving not seeing posts in chronological order. Kinda look like a stalker liking posts that show up in my feed today, but we're from 5 days ago..
Singapore;Y suddenly cannot download?
Canada;Profile photo is blurry even though it is sized to fit perfectly.
Australia;Started using it in the UK April 2017, now back in Australia I've found it superb, always up to date and accurate.... great app! \n Beats any Satnav I've ever used and google maps!
Australia;Scrolling through is slow and keeps going back to home screen. Also slow when open comments up.
United States;Take back your eating habits with this great app. It will make you think about everything you eat. The results may surprise you. I found in the first few days that I was making a lot of little mistakes that were adding up against me every day. It works and you don't have to diet!
United States;Since the latest update, my app won't even load now, I get the spinning wheel of doom. When it does load, I only get a few stories on my feed before I can't scroll anymore. Trash!
Hong Kong;
India;Mah instagram followers are not increasing 😓😓😢😢😢plzz help meh in that and give some solution on tht because mah network is also in full speed then to its not working plz increase them ..its seeing in detail bt not in numbers ..\n  Thnk u
Canada;i can't see new posts that i saved! so far it's only one post that isn't in the saved file for some reason but everything else is fine
Australia;Goodness. You Developers should just stop changing things because you can. It was just fine before you broke it. Hate the new updates & sick of constantly having new updates & changes. I have nothing good to say about anything. 0 rating. \n By the way, why take away the seen? Not everyone responds to a post with a comment etc, and it's good to see who has actually seen it. Especially if you are running a business & what to check who's looked at something without having to go through all the Insights etc. \n You Developers should really stop & get off your horses for a while. Go smell the roses. We would love you much better then.
Singapore;Whenever i visit a page on the app it keeps crashing!! Please fix it asap because its so annoying ><
South Africa;Love this app. Use it every single day and it saves me a lot of time!
Singapore;It's an awesome app,works smoothly
United States;This is the best app ever
United States;They latest update keeps failing to load anything into stories. Otherwise everything else is great.
United States;Easy to use, better than Facebook
India;The best thing ever happened to me. Thank you Instagram
Australia;A really great app that helps keep track of my food intake and calories. So far it has been one of the apps that helped me lose weight.
South Africa;My data is on but it just say connecting the whole time it needs to b fixed
South Africa;Hi, please tell me how I can report an Instagram account that run by a fraud. The lady poses as a seller of clothes. After sending her money, she doesn't send the products. \n \n Your reports section did not have an option that I could report this account with. Please inform me how I can carry on with this matter.
United States;The Siri issue has not been addressed whatsoever. I've stopped using Waze altogether. It's simply too annoying to remember the bugs for an app and workaround it every time. Also time estimates are always off making you feel rushed and always behind. \n \n The full voice support is too much and the simple version is too little. The Voice is also more robotic than googles. \n \n Other than watching out for cops on the road I see no use of this app until they address some of these major pain points
United States;New face filters on Instagram today. Nice Job Team!
Canada;Perfect for those who like pictures over text. Have multiple accounts. Advertise. It's all here!
Australia;The Best in the business.
United Kingdom;So awesome
Hong Kong;（ ） ， ， ！
India;So far so good
South Africa;it does what it does
United Kingdom;Since the update I've been getting 4/5 current stories then the rest of my feed is stuff from 4 days ago. Rubbish.
Australia;This app has changed so much. It's the best drivers app by far. Try it. Amazing.
Australia;I get that everyone needs to make money but when I'm 1 minute in to a 3 minute video and it's already been stopped for 2 adds???!! That's just ridiculous. Won't be long and no one will be watching videos on Facebook. You get less adds on free tv!
India;I found Pinterest a very useful app,lots of ideas everywhere.
Singapore;Just like face book but better
Singapore;I have been always replying whatsapp when my phone is locked. Now for some reason, I can't do that anymore. I also cannot find the function to do that in any of the whatsapp settings. Please do something about it.
Canada;It is so addicting. I would 👲ecommend this app. It is very helpful & interesting!!! #thebestappever
Canada;The app is too laggy especially when searching
Hong Kong;Why?? Fix it as soon as possible!
Singapore;Have been using it for years and I would have to say that the changes made are attracting more users to join the community! Great app! Love the interaction and engagements too! �
India;Awesome app
India;nyccc app
United Kingdom;It's good for posting artsiey things and good for finding memes!
Singapore;Please set a setting to remove swipe left to camera features. Is irritating.
India;Facebook has only backdrops for battery consumption
United States;Where are the comments??? Why I can't see any comments??? Why you are not displaying them??!
Canada;Les sujets sont tous plus intéressant et diversifiés. Instructif élaboré et bien documenté. Merci beaucoup d'être là.
Hong Kong;N ， ， N ，
India;All iphone users have mostly faced space prob. So kindly develop option for deleting data storage.
Hong Kong;I need this for work and now it doesn't work at all!
India;Need an option to switch off links loading in inbuilt browser. It's annoying.
Canada;Great GPS. Just a little power hungry
Singapore;Keeps showing old messages that I've read as new ones with the notifications. Pls fix it
United Kingdom;After this latest 'update' it keeps crashing. The camera swipe right is so annoying and unwanted - keep triggering it when scrolling through! No more nearby friends on a swipe left. Seems to crash and give up at least once an hour.
United Kingdom;Just rating 1 star because everyone is complaining so I will too FIX THE STUFF THAT ISNT FIXED FACEBOOK
Hong Kong;， ？ ， 。
Singapore;keeps you going through dry spells
Canada;Easy to navigate and helpful
Singapore;So far so good however is there a platform whereby we can share our ideas through pinterest and not just a separate web?
Australia;It's probably my favourite app you should definitely get it
South Africa;It's very nice ...
Hong Kong;..
United States;On the newest iOS, my phone cannot load Instagram. It started to go slow, I did the update and even worse. Can't even use the app now
India;But where has the like button disappeared?
Australia;I've updated the current version. Now it says 'Cannot Refresh -No Connection'. Help.
South Africa;Please bring back the CONTACTS/FAVORITES Tab...
South Africa;Thee best app🟽
Singapore;After the WhatsApp update, my WhatsApp chats stuck at connecting even with a working wifi. Tried to redownload but the problem still premise.
Canada;Great way to stay active and compete against friends. Definitely has you up moving around to hit your step goals which is awesome!
South Africa;This is the best app out there currently. Easy to use, fastest route saving you loads of time!
Canada;Who doesn't love a good old IG
India;One and only best social platform to meet people
Hong Kong;Nice
Hong Kong;Keep going~
United States;It has really helped me
Australia;Instagram used to be a great way to share photos with friends. Now it's full of advertising (an ad every 10 pics) and sponsored posts which means my friends photos get lost in the mix and to be honest that's the only reason I use the app.
Australia;My account is constantly being blocked from liking pictures, writing comments, and following users due to 'inappropriate content' in my comment or in my profile.\n Which is ridiculous as I have nothing of that kind in relation to my account and the actions i take on instagram. I usually have to want a over a day before it goes back to normal but then it would happen a few days later.
United Kingdom;The food tracking is good on the app, but the integration with Apple Health to pick up any exercise is a bit hit-and-miss, some workouts being added to MyFitnessPal twice, while others don't get added at all.\n I've ended up just using it as a food/calorie/macro feed into Apple Health.
Singapore;I've gotten used to the ads. Fine. But can we bring back the individual likes? I hate how you've clumped them all together. \n \n Not loving the ads at all! And how I'm constantly being asked to rate it.
Australia;Current version keeps on crashing. What's wrong?
India;Facebook updates are very frequent,\n Guess they should paln their release less frequently
Singapore;I find that when there features are newly introduced in a WhatsApp update, they usually don't work.
United States;Bring back the correct order of when people post, please. Everyone hates the way you've turned Instagram to latergram by putting posts at the top of someone's feed from a week or more ago. Big mistake by you guys. Bring back the original Instagram please.
Australia;My newsfeed is full of ads!! Ridiculous, it's bad enough Facebook decides to show me specific posts from specific friends (instead of all my friends posts) now my feed is FULL OF ADS. Makes me not want to get on Facebook.
Hong Kong;Can I have the 'Favorites' tap back and 'recall' feature?
South Africa;Can't drive without Waze on any given day.
United Kingdom;Whatsapp has got progressively worse with each update. The storage structure of the software is poor. It's states you have more usage than you actually do so clogs up your phone.
Canada;Why would u get rid of zooming in the chat when sending pics to your friends u didn't even warn us u said It was a bug fix please just fix
Australia;First you take away the button to see who's online. Then you bring it back 2 weeks ago. Now it's gone again. WHY. Keep it there. Plus tooooooo many useless updates, using up all of my storage
Singapore;Updated so many times, but still do not have the new filter function. All my friends have it already! :(
Hong Kong;Merecedor de 4 estrelas, só não ganha 5 por causa das propagandas inúteis.
Canada;Super unstable and always crashes, I've had this problem for months. Just please someone fix this
United States;Great way to share experiences with friends and family!
Hong Kong;Failed to load news feed. Only a little dot shown on the screen. Please fix
Australia;I cant access the market place icon on this app :/ what's going on ?
Australia;Used to be great, but since changing to a non-chronological format and an ad every 4 or posts, it's gone to the dogs. \n I would happily pay for a premium version that meant no ads and chronological. Lift your game Instagram or I'm off to jump on the Ello train!
United Kingdom;Instagram is a lovely way to talk to your friends and is safe and amazeballs
South Africa;Best app and m loving it like poetry
Canada;Helps in counting nutritional facts and logs ur workout, water intake gives a comprehensive summary for ur daily goals aiding ur journey to ur personal targets! I've already shared this app with friends and loved ones after seeing it make a huge impact on my own routine along with others within my circle of trust... download this and watch how much easier it is to make ur life simpler!
United Kingdom;MyFitnessPal, is now a practised part of my day. I've lost nearly 2 stone since January, I'm not rushing. This app has helped enormously and helping to teach me all I need to able to maintain my weight loss once at target.
Australia;Anyone can do it, but maybe not everyone should.
Canada;Links are constantly reloading. Can't read anything. Very frustrating.
United States;ads ads ads ads ads.....and more ads
South Africa;App works great and easy to use.
Hong Kong;Can't see many post after update, many post is blank even sponsored post.
United Kingdom;No fr. Really?
United States;I can't comment on my live or anyone else's !! Please fix
Australia;This app actually makes better drivers simply because anyone who uses this app instantaneously becomes more aware of not only their own driving but others as well.
Australia;Every second post in my feed is an advert. DONT UPDATE!!\n \n And stop telling me to follow people- if I wanted to I already would!!\n \n Your app is on the slide
United States;It's great gives me best ideas
United Kingdom;Very useful apps for Facebook.
Australia;Please add language Arabic\n Too Facebook\n Please add language arabica\n Please add language Arabic\n Too Facebook\n Please add language arabica\n Please add language Arabic\n Too Facebook\n Please add language arabica\n Please add language Arabic\n Too Facebook\n Please add language arabica
Australia;An incredible app to help measure your intake
Australia;Great but...when I click onto saved posts it doesn't let me make a collection/album. Also...the irrelevant ads are showing up on my feed all the time....
Australia;I woke up this morning and scrolled through Insta and suddenly there are ads every 5 posts I scroll through! What is going on!? If it keeps up like this I'm going to delete the app, it's not worth it.
United Kingdom;it's so easy and fun to use. really helped me with my instagram. Awesome just all I have to say go more likes
Canada;Everything went fine till I loaded last version 2.17.21, it dies not connect to the WhatsApp system and it says that I don't have internet connection.\n Way to go Facebook, you have to put your stinky nose at this fine working app, bleeeeh Facebook
Hong Kong;My Instagram version is up to date but I found out I can't really unblock users cause their Instagram accounts showing user not found, is there any way to solve this problem?
United Kingdom;This and the Fitbit blaze have changed my days completely, can't recommend it enough!
Singapore;The sensor to show the clock sometimes doesn't work effectively when i turn my wrist. Furthermore, whenever I have to see the time i NEED to flick my wrist every time just to see the time. It doesn't allow me to see the time at different angles without having me to flick my wrist. I find this really annoying. Even if i do flick my wrist, in only works 90% of the time.
Australia;I like being able to interact with people all over the world with a single touch. I use it to keep people informed about any events I run and to keep up to date with readings on healings, yoga, sound... articles relating to my work as a teaching yoga therapist are always of interest. Sadha Siva to all...
Hong Kong;， ， ！
Singapore;As we all know, Samsung has this option to instantly reply WhatsApp without opening the app itself. Apple should do that too as it can get quite inconvenient to open and close multiple times when there is a message.
Australia;I love this app and I spend hours on it and one thing I liked was the 'like' button, I preferred having the like tab than a like board. The reason I 'like' things is because they aren't fit for a board so they fit in the like section...
Singapore;Please check on the function. I can't upload my IG story. Once I press upload, the app crush. Kindly please take a look at it. On and off I will have this issue.
Canada;Fix the problem with signing in on 2 accounts!! Let alone now we need Facebook in order to sign in? Horrible almost ready to delete this app for good
United Kingdom;Use it regularly
United Kingdom;Won't let me comment on people's photos and keeps saying error tap to try again
Canada;I find the app works great and is such a wonderful way to connect with like minded people!
Canada;Best driver companion, with one very annoying bug, when start app in landscape mode it stays in portrait until I remove the phone from the holder, twist to portrait then back to landscape again.
United Kingdom;ads, ads, ads.
Canada;I don't like the new update that you can't see the description or who it is from, do not like the circle things. I wish they would not change something that was working well.
Hong Kong;If multiple photos are posted at the same time, all are blurred with no reason!!
United Kingdom;Can't see who has posted pins now so I can't tell if it's content my friends have posted or advertising. Also stop forcing me to install your app when using a browser. Seriously fed up with the changes you've made, now unusable
United Kingdom;Have logged food diary for two weeks and have lost 5lbs - after months of no luck! Would recommend!
United States;Love this app that syncs with my mom's old flex. Perfect for the newcomer and I LOVE the sleep feature! Think I'm sold and will definitely be a repeat client.
Canada;Love my new Fitbit Alta and the app!! So helpful and wonderful!!
Singapore;When you select multiple photos, the photo size is automatically square. Is there a way to retain the full size photo when selecting multiple photos?
United Kingdom;Lovepretty cool Functional, cool and easy to use! Really works and helps small businesses to get more likes, and internet traffic! this This is the best app which increases the number of free instagram followers with some decent ways to achieve ….
South Africa;Brilliant app. I use it instead of Google Maps now.
Hong Kong;！ ！\n  ？
United States;I swear to God, please bring the Likes button back!
India;The Instagram is one of a kind. It is truly an aspiring app. But for a few days my news feed isn't updating as in it is not supporting my network . Please see to it that this bug is fixed . Apart from this love using your app
Canada;Avoided many tickets using this app.
India;Posts are not opening. Uninstalled and reinstalled the app but problem continues. Please fix it.
India;Excellent feature to group multiple pics and swipe right on a msg to reply !!!
Hong Kong;�
Canada;Charge HR, iPhone 7 with latest iOS and app version. Device correctly synced to the app, but whenever I attempt to track exercise with the app, it freezes up.
Hong Kong;Caption and comments Unable to post in current version all tags were gone
South Africa;I love using instagram as my personal blog. What you see on my page reflects my life �
India;Love this app. Provide lot of data in a categorical way.
Hong Kong;post ，post ，
United Kingdom;Why can't you click onto profile pictures?
Hong Kong;
Hong Kong;Can't @ my friends on others post & why the post is not link up to Facebook page after transfer to business account? \n Pls fix these problems ASAP.\n \n Post many photos in one post, can't review the photos size.
Hong Kong;Pls fix it asap..too bad
Hong Kong;！
Singapore;As per title, after the latest update, couldnt sync my fitbit device and was constantly shown that my fitbit device battery is empty despite full charge and using it everyday.
Singapore;RM600；700）
Australia;The latest updates removing the ability to see who pinned something to your feed are garbage. No app has ever been improved by removing functionality.
Canada;It's a good app, I can get lots of stolen memes on it, but too many repetitive ads for bad mobile games.
Canada;This is an awesome app
Australia;Had to delete and reinstall app several times as it crashes and doesn't always show who is online.
Canada;I can't view my online friends on messenger by swiping left from the original Facebook app. Terrible update losing tabs and functions.
United Kingdom;Recently I've been struggling to see pictures on this app. \n I love the app, it helps me a lot, work wise etc. But without the pictures it's no use to me.\n \n Edited: I still don't get pictures. Getting disappointed now.
United Kingdom;Just updated Facebook but keeps crashing sporadically...never had an issue before. On iOS 10.2.3.
India;Unable to search messages :(
United Kingdom;I don't like new update �
South Africa;Best best
United States;I love this app. My only suggestion is that the next up date includes Apple Watch compatibility. It would be nice to be notified on the watch as well as the phone
United States;Hate this app
Singapore;Please fix...
Hong Kong;instagram app ？ �
United States;Where did the heart option go?!?!?!?!?! �
Australia;Ever since the update my news feed has been stuck. The same two posts with the refresh and scrolling features not working. Please fix
Australia;I accidentally deleted this app but when i reinstalled it and logged in, Instagram had unfollowed a bunch of people that i know. I had to explain that I did not intentionally follow them. This situation has cause many misunderstanding. Thanks Instagram.
United Kingdom;Cannot upload more than one photo at a time to an album. When multiple are selected, the app just freezes.
South Africa;Best navigation app by far
Australia;Videos on Facebook continue in a loop and don't stop unless you force close it???\n \n Running iOS 10.3.1
United States;Love love love
Singapore;The notifications haven't been refreshing for a few days now
United Kingdom;There are no words to describe. Just say waze has given me the freedom to drive again without the stress of traffic....
Canada;Great social media app...
India;Fast fast application install problem
United States;Kind of amazing how intuitive this app an be. Keeping a star only because of occasional bad instructions (that don't cause loss of time or get me lost or anything, just confusing like in 1 mile exit to Cool St. but I'm already on Cool St. Even more rarely it takes me around traffic that actually would have been faster to stay in. Minor issues. Great app overall:)
South Africa;Anti-Traffic App.\n Reliable
United Kingdom;Does exactly what it's supposed to and does it well
Canada;Message bubble at top is gone so I don't see when I have messages from people any longer!  Please fix asap!
United Kingdom;Again and again!! Why??
Australia;The camera app is very irritating, does anyone actually use it? \nGetting to most recent is a pain and should be easily accessible. \nEditing or deleting a comment is now a challenge.
United Kingdom;It's the best app ever and whoever doesn't have it I would definitely recommend it to them because it keeps you in touch with all your family and friends. It is the best texting app ever.
Canada;New update is horrible.  Doesn't have the messenger icon???  Stop updating, you keep making it worse
Hong Kong;Sometimes I create new post, I wrote everything and already posted, but the post didn't show up the words! Is nothing in my post
Singapore;best messaging service EVER!!!
Australia;Sick to death of it forever changing. If it ain't broke. Don't fix it.
Australia;Hopeless
United Kingdom;Would be great if you could move your images on your profile around so they are seen in another order instead of only according to date posted. With people able to press a button to view in date order instead maybe.
Singapore;Good apps
Singapore;App is good. But if we have Touch ID lock it will be very useful and more secure.
India;Not getting any kind of notifications badge in the app icon for any kind of update . I have to open the app to see how many notifications are there.\n\niPhone 7\niOS 10.3.2
United Kingdom;Fantastic app .proud I have it. It had saved me lots of money from buying sat Nav. So accurate.still loving it.
South Africa;Love using your app. It's a well rounded app. One suggestion thou, being able to assign custom profile pictures to contacts. People put crap up and I just want a face to remember who it is. Not some pictures of their dog?keep up the good work �
India;When useing it was just getting closed
Singapore;I'm always happy with whatsapp till this auto optimising of chat and thereafter it deleted all my previous chat, photos and videos. Leaving me with only the current month memories. Pls assist to solve this.
Hong Kong;Really need to put some work into this. The button is so close to clear message button, with no confirmation whatsoever. I've recently quit a group twice. Make it a button on the top right corner after entering group info or whatever to avoid disaster please! URGENT!
Australia;Generally pretty pleased BUT there is a missing link with some ingredients such as himalayan salt - there are a number of trace minerals & elements found in himalayan salt such as potassium etc but only lists sodium in the breakdown! Many scanned ingredients i've added doesn't list main ingredients that are fairly obvious ones! Also, it would be great to have all ingredients, minerals etc generate through to iPhone Health Data like iodine and the many that don't get picked up.\n\nOverall .... it's a good tool to support specific dietary consumption!
Hong Kong;�
India;The regular updates make the the app very smooth and fast.
Australia;But it's as simple as, there are streets right in the Adelaide CBD that don't exist in Waze. But do exist in google maps.
Singapore;Minor improvements to perfection so work on it instagram , you're getting there.
United States;I'm not really liking the current version as much as I have some of the older ones.
United States;I RARELY leave reviews, but lately Instagram has sucked. First, bring back posts in real time. I miss out on a lot of posts from users I follow simply because Instagram has decided to filter posts based on what they think I want to see or posts that have the most likes. I don't care! I want to see the posts of people I follow as they happen and not 10 hours later ... Secondly, what the heck happened to being able to upload a video?! I can't upload a video without my screen going blank and then the app crashes. Fix this!! Really frustrating and seems like Instagram is becoming more and more like Facebook everyday. No thanks.
Canada;I find that this app has very poor shortcut and guidance routes in rush hour. i think its algorithm tries to avoid straightforward routes to avoid backups however not only are its route congested, they are also slower than google maps directions. for over a month i logged my usage with waze vs google maps and in the end i give the nod to the latter as its routes are more straight forward and also overall faster. This app was a total torture in the month that i used it, never got stuck in such bad congestion before. For example in toronto Don Valley Parkway (freeway) gets very congested during rush hour and instead this app recommends taking more city streets, however this ends up being even worst as the city is always backed up due to redlights, heavy pedestrian presence and public transport. it's much better sticking with google maps (online with traffic) less complicated directions. The only
Australia;Why was messsenger removed from the Facebook app.\n\nDon't change something that isn't broken.
South Africa;Really like it, although sometimes subscribed things disappear
Canada;SUPPORT IT
India;Good one app
Hong Kong;Great App\nEvery use\nHobbies galore\n\nNeed more vintage leather
Australia;So many versions are released, cant you guys fix bugs in one go and release a stable version.
Australia;I love my app for Facebook on my iPhone.
United Kingdom;Makes photo's both old and new look great! Fab for sharing- I think we all prefer to share our lives in pictures!
Australia;My Alta HR won't sync
Canada;Although there's a few features that aren't on all devices this app is perfect. Has helped so much
South Africa;This version is terrible. I can't even record a voice note, I'm not recommending this app to ANYONE. Fix it.
South Africa;Can you please add a feature where you delete the statuses from your iPhone, cause they take up a lot of space when they get save on your phone. Please fix .
Singapore;Nice
India;nice then every thing new story mode rocks
United Kingdom;Worse service of update
Canada;We lovethe premise but the new updates make it crash every time we try to post videos \nThat a side we love the mass communication ability \nWish I could stop myself from being tagged though
South Africa;Best traffic app with up to date info
Hong Kong;What's wrong with the photos displaying sequence AGAIN? The same photo keep sitting on the top of my feed.
India;Best app to connect someone
Hong Kong;iphone   ？
Canada;It keeps track of everything in one place, you can even sync it with other apps.
United States;Love this app
United Kingdom;Yep
India;Unable to login through my Facebook account from yesterday
Canada;It would be wonderful if there was something in a new update where one of your friends posted in 10 different buy and sell groups if they could be merged into one notification instead of 10. Would be greatly appreciated!
United States;Love the app
Hong Kong;
India;not working properly, hangs s lot
Canada;I like the app and everything works good. But certain interfaces are good, some aren't. Why does it keep changing?
Australia;It is a fabulous way to keep on track. Very user friendly.
India;Latest updates have made the app really laggy and even makes there app hang sometimes. Especially the new grouped videos feature. Please fix this asap devs.
Hong Kong;after panning right in the feed page!  friend request shown BUT fail to pan right and go back
Hong Kong;I am not here for seeing all those ads which appears after 3-4 posts non stop. This makes me want to quite ig.
United States;I love Pinterest, it has pins for any topic you can think of.
Australia;All good
United Kingdom;Hardly use Facebook. 50% of my battery. That's background even when refresh is turned off! Awful app. Now sticking to browser app as I can use messages without having to install yet another app!
United Kingdom;I love this app but the updates make it worse -EVERYTIME please bring back the like shortcut
United Kingdom;This App is awesome and much better than other available navigation Apps. Also it's a good fun to update events and editing maps. Nothing better than this for free navigation with fast events update.
Canada;Great app, it gives me all I want!
Canada;I love Facebook and I hope it's keeps on getting better
United States;The information highway! Things I can wrap my life around
Singapore;I dont have the face icon for face filters on my iphone7. My ios is the most updated. Ive reinstalled instagram and it's the same.
Singapore;hi, i love using insta however today my ig KEEPS crashing! please fix this!!
Australia;? ADORE THIS APP?
Australia;Videos keep freezing. I think it's the new mid-play ads? \n\nRegardless, my whole phone freezes for a few minutes each time. If you're going to try to monetise your video feed, at least have a system which can support it. Videos take ages to load as it is, then you try to add more?
United Kingdom;This has helped in so many ways, showing how many calories I need to help me lose weight to easily being able keep track of what I was eating
United States;It keep force closing
Australia;I love the memes and stuff u can put on from 1000 walpapers amazing keep it up �
Australia;Yes, I really love it.\nGood for traffic & cops.
Hong Kong;reactions  。
Hong Kong;！！！\n ！\n tick ， ，  。
Hong Kong;
United Kingdom;Can't you do anything original or do you have to just do what Snapchat does?
Singapore;Best navigation that I downloaded! Can use it in offline mode �
Canada;I wrote regarding an issue and the response that came was a standard answer to an FAQ that did not address my specific issue. I need a phone number and contact of a live agent that I can speak to.
Canada;Crashed repeatedly so I uninstalled now it won't let me reinstall
Hong Kong;CAnt use
India;There is something seriously wrong with the app. The photo quality of the uploaded is very poor.\nThere is a drastic difference in the photos that get saved after uploading and the one which is on display.\nThis is not done.\nThe purpose off the app is gone.\nI would like u to look up to this issue and fix it as soon as possible.\nInstead of copying featuresfrom other   social sites it would be better to focus on your primary job.
India;Why the package is too big?
South Africa;Cool app
South Africa;I honestly used to love instagram! Not so much lately. It has a promblem and does not allow me to log into my account from my device. I have tried on other people's devices and it works. My account is even verified and everything. Instagram has let me down. I actually have to use a web browser to access my account now and this doesn't have all the features like dm and etc. instagram let me down big time �
India;this current update having connection issues. Also could not able to download videos
Australia;Prefer the desktop version, but this will do. It's efficient enough, can't complain. X
United States;I wish I could rate this as -5 starts because it's so terrible that nothing is chronological. If Instagram doesn't change this back then I may stop using the app. It's annoying because I miss so many posts. This is the worst update yet. I am livid.
South Africa;Instagram is a awesome app but I think it should not be so complicated for unfollow users on Instagram it should be simple & there should be not time limit to unfollow users
South Africa;Esikhophasi
United States;Love it! Was hooked from day one!
United Kingdom;Love this app and all the new features but unfortunately it won't let me access the face filters on my phone I've updated and it's still not working?
Hong Kong;Im ios user.  After updated this app, i can only notified how many comments or likes by others, but can not show the contents and updates from it. Pls fix it asap, this is very annoying
Singapore;I use alot of navigation apps . This beats all and is very updated
South Africa;Dope
